id,name,party,sector
ul,Ursula von der Leyen,CDU,Politik
lk,Lars Klingbeil,SPD,Politik
nr,Norbert Röttgen,CDU,Politik
sw,Sarah Wagenknecht,Linke,Politik
cs,Constanze Stelzenmüller,NA,Recht
cl,Christian Lindner,FDP,Politik
ks,Karl Schlögel,NA,Geschichte
lm,Ljudmyla Melnyk,NA,Wissenschaft
kd,Kristina Dunz,NA,Journalismus
el,Egils Levit,NA,Politik
ab,Annalena Baerbock,Grüne,Politik
ft,Frans Timmermans,NA,Politik
am,Andrij Melnyk,NA,Politik
agl,Alexander Graf Lambsdorff,FDP,Politik
er,Egon Ramms,NA,Militär
rh,Robert Habeck,Grüne,Politik
cm,Claudia Major,NA,Wissenschaft
kp,Katja Petrowskaja,NA,Journalismus
rk,Roderich Kiesewetter,CDU,Politik
500,Folge 500,NA,NA
501,Folge 501,NA,NA
502,Folge 502,NA,NA
503,Folge 503,NA,NA
CDU,CDU,NA,NA
Linke,Linke,NA,NA
Grüne,Grüne,NA,NA
FDP,FDP,NA,NA
